,Username,Repo_name,Stars,Repo_url
0,bregman-arie,devops-exercises,41500,https://github.com/bregman-arie/devops-exercises
1,pulumi,pulumi,15400,https://github.com/pulumi/pulumi
2,microsoft,recommenders,15300,https://github.com/microsoft/recommenders
3,ramitsurana,awesome-kubernetes,13700,https://github.com/ramitsurana/awesome-kubernetes
4,Azure,azure-quickstart-templates,12700,https://github.com/Azure/azure-quickstart-templates
5,mozilla,sops,12400,https://github.com/mozilla/sops
6,caprover,caprover,10100,https://github.com/caprover/caprover
7,google,go-cloud,8900,https://github.com/google/go-cloud
8,microsoft,computervision-recipes,8900,https://github.com/microsoft/computervision-recipes
9,infracost,infracost,8800,https://github.com/infracost/infracost
10,prowler-cloud,prowler,7900,https://github.com/prowler-cloud/prowler
11,microsoft,azuredatastudio,7100,https://github.com/microsoft/azuredatastudio
12,node-formidable,formidable,6600,https://github.com/node-formidable/formidable
13,midwayjs,midway,6500,https://github.com/midwayjs/midway
14,Netflix,metaflow,6500,https://github.com/Netflix/metaflow
15,thangchung,clean-code-dotnet,5900,https://github.com/thangchung/clean-code-dotnet
16,aquasecurity,tfsec,5700,https://github.com/aquasecurity/tfsec
17,budtmo,docker-android,5500,https://github.com/budtmo/docker-android
18,bridgecrewio,checkov,5400,https://github.com/bridgecrewio/checkov
19,nccgroup,ScoutSuite,5200,https://github.com/nccgroup/ScoutSuite
20,turbot,steampipe,5000,https://github.com/turbot/steampipe
21,cloud-custodian,cloud-custodian,4700,https://github.com/cloud-custodian/cloud-custodian
22,milanm,DevOps-Roadmap,4500,https://github.com/milanm/DevOps-Roadmap
23,Azure,azure-sdk-for-net,4500,https://github.com/Azure/azure-sdk-for-net
24,sottlmarek,DevSecOps,4400,https://github.com/sottlmarek/DevSecOps
25,Azure,autorest,4100,https://github.com/Azure/autorest
26,cloudquery,cloudquery,4100,https://github.com/cloudquery/cloudquery
27,learntocloud,learn-to-cloud,4000,https://github.com/learntocloud/learn-to-cloud
28,microsoft,SynapseML,3900,https://github.com/microsoft/SynapseML
29,hashicorp,terraform-provider-azurerm,3900,https://github.com/hashicorp/terraform-provider-azurerm
30,simov,grant,3800,https://github.com/simov/grant
31,Azure,MachineLearningNotebooks,3600,https://github.com/Azure/MachineLearningNotebooks
32,encoredev,encore,3600,https://github.com/encoredev/encore
33,Azure,azure-sdk-for-python,3500,https://github.com/Azure/azure-sdk-for-python
34,Azure,azure-powershell,3500,https://github.com/Azure/azure-powershell
35,Azure,azure-cli,3500,https://github.com/Azure/azure-cli
36,opencost,opencost,3500,https://github.com/opencost/opencost
37,fscarmen,warp,3200,https://github.com/fscarmen/warp
38,tailwarden,komiser,3100,https://github.com/tailwarden/komiser
39,APIs-guru,openapi-directory,3100,https://github.com/APIs-guru/openapi-directory
40,smartstore,SmartStoreNET,2600,https://github.com/smartstore/SmartStoreNET
41,aquasecurity,cloudsploit,2500,https://github.com/aquasecurity/cloudsploit
42,microsoft,AcademicContent,2500,https://github.com/microsoft/AcademicContent
43,wal-g,wal-g,2500,https://github.com/wal-g/wal-g
44,gardener,gardener,2400,https://github.com/gardener/gardener
45,iterate-ch,cyberduck,2300,https://github.com/iterate-ch/cyberduck
46,loic-sharma,BaGet,2300,https://github.com/loic-sharma/BaGet
47,lazywinadmin,PowerShell,2000,https://github.com/lazywinadmin/PowerShell
48,Azure,azure-rest-api-specs,2000,https://github.com/Azure/azure-rest-api-specs
49,pulumi,examples,2000,https://github.com/pulumi/examples
50,Qovery,engine,1900,https://github.com/Qovery/engine
51,dotnet,spark,1900,https://github.com/dotnet/spark
52,banzaicloud,bank-vaults,1800,https://github.com/banzaicloud/bank-vaults
53,Azure,azure-functions-host,1800,https://github.com/Azure/azure-functions-host
54,Azure,azure-sdk-for-java,1800,https://github.com/Azure/azure-sdk-for-java
55,paolosalvatori,ServiceBusExplorer,1800,https://github.com/paolosalvatori/ServiceBusExplorer
56,poseidon,typhoon,1800,https://github.com/poseidon/typhoon
57,yunionio,cloudpods,1800,https://github.com/yunionio/cloudpods
58,AutomatedLab,AutomatedLab,1700,https://github.com/AutomatedLab/AutomatedLab
59,FoundatioFx,Foundatio,1700,https://github.com/FoundatioFx/Foundatio
60,infracost,vscode-infracost,1700,https://github.com/infracost/vscode-infracost
61,MicrosoftDocs,architecture-center,1700,https://github.com/MicrosoftDocs/architecture-center
62,feathr-ai,feathr,1600,https://github.com/feathr-ai/feathr
63,pgbackrest,pgbackrest,1600,https://github.com/pgbackrest/pgbackrest
64,cycloidio,terracognita,1600,https://github.com/cycloidio/terracognita
65,4ndersonLin,awesome-cloud-security,1500,https://github.com/4ndersonLin/awesome-cloud-security
66,Azure,azure-sdk-for-js,1500,https://github.com/Azure/azure-sdk-for-js
67,SeldonIO,seldon-server,1500,https://github.com/SeldonIO/seldon-server
68,phongnguyend,Practical.CleanArchitecture,1500,https://github.com/phongnguyend/Practical.CleanArchitecture
69,microsoft,AzureTipsAndTricks,1400,https://github.com/microsoft/AzureTipsAndTricks
70,Noovolari,leapp,1300,https://github.com/Noovolari/leapp
71,gaul,s3proxy,1300,https://github.com/gaul/s3proxy
72,Azure,Enterprise-Scale,1300,https://github.com/Azure/Enterprise-Scale
73,sandroasp,Microsoft-Integration-and-Azure-Stencils-Pack-for-Visio,1300,https://github.com/sandroasp/Microsoft-Integration-and-Azure-Stencils-Pack-for-Visio
74,ManageIQ,manageiq,1300,https://github.com/ManageIQ/manageiq
75,ilyas-it83,CloudComparer,1300,https://github.com/ilyas-it83/CloudComparer
76,Azure,azure-sdk-for-go,1200,https://github.com/Azure/azure-sdk-for-go
77,Azure,azure-policy,1200,https://github.com/Azure/azure-policy
78,David-Summers,Azure-Design,1200,https://github.com/David-Summers/Azure-Design
79,mtxr,vscode-sqltools,1200,https://github.com/mtxr/vscode-sqltools
80,VirtoCommerce,vc-platform,1100,https://github.com/VirtoCommerce/vc-platform
81,ahmedtariq01,Cloud-DevOps-Learning-Resources,1100,https://github.com/ahmedtariq01/Cloud-DevOps-Learning-Resources
82,fit2cloud,riskscanner,1100,https://github.com/fit2cloud/riskscanner
83,SecurityFTW,cs-suite,1100,https://github.com/SecurityFTW/cs-suite
84,Hacking-the-Cloud,hackingthe.cloud,1100,https://github.com/Hacking-the-Cloud/hackingthe.cloud
85,Azure,aztfexport,1100,https://github.com/Azure/aztfexport
86,imgbot,Imgbot,1000,https://github.com/imgbot/Imgbot
87,Azure,acs-engine,1000,https://github.com/Azure/acs-engine
88,Azure,aks-engine,1000,https://github.com/Azure/aks-engine
89,WireMock-Net,WireMock.Net,991,https://github.com/WireMock-Net/WireMock.Net
90,lukemurraynz,awesome-azure-architecture,983,https://github.com/lukemurraynz/awesome-azure-architecture
91,Azure,azureml-examples,975,https://github.com/Azure/azureml-examples
92,BlueTeamLabs,sentinel-attack,966,https://github.com/BlueTeamLabs/sentinel-attack
93,vchinnipilli,kubestriker,942,https://github.com/vchinnipilli/kubestriker
94,run-x,opta,936,https://github.com/run-x/opta
95,docker,compose-cli,917,https://github.com/docker/compose-cli
96,logicalclocks,hopsworks,897,https://github.com/logicalclocks/hopsworks
97,undergroundwires,Azure-in-bullet-points,875,https://github.com/undergroundwires/Azure-in-bullet-points
98,hausec,PowerZure,862,https://github.com/hausec/PowerZure
99,mdecrevoisier,Microsoft-eventlog-mindmap,853,https://github.com/mdecrevoisier/Microsoft-eventlog-mindmap
